Timestamp,Date,Symbol,Open,High,Low,Close,Volume_(BTC)
1.59E+12,2020-05-21 15:00,BTCUSD,9061.69,9138.49,9040,9071.88,176.7334242
1.59E+12,2020-05-21 14:00,BTCUSD,9278.29,9300,8927.51,9061.69,901.748265
1.59E+12,2020-05-21 13:00,BTCUSD,9341.05,9378.6,9250,9278.29,72.31070219
1.59E+12,2020-05-21 12:00,BTCUSD,9370.46,9380,9313.12,9341.05,76.4526329
1.59E+12,2020-05-21 11:00,BTCUSD,9360.93,9375.57,9327.74,9370.46,27.5917487
1.59E+12,2020-05-21 10:00,BTCUSD,9288.77,9365.45,9217.43,9360.93,115.9635158
1.59E+12,2020-05-21 9:00,BTCUSD,9365.9,9425.31,9288.77,9288.77,115.2069958
1.59E+12,2020-05-21 8:00,BTCUSD,9443.9,9495.61,9263.43,9365.9,124.0693542
1.59E+12,2020-05-21 7:00,BTCUSD,9479.84,9508.35,9441.97,9443.9,27.87313527
1.59E+12,2020-05-21 6:00,BTCUSD,9492.75,9527.79,9479.83,9479.84,19.56649193
1.59E+12,2020-05-21 5:00,BTCUSD,9470.28,9511.35,9470.28,9492.75,24.42542869
1.59E+12,2020-05-21 4:00,BTCUSD,9465.2,9488.39,9418.5,9470.28,34.38441321
1.59E+12,2020-05-21 3:00,BTCUSD,9463.32,9492.64,9447.39,9465.2,56.13473693
1.59E+12,2020-05-21 2:00,BTCUSD,9516.09,9528.79,9461.05,9463.32,31.42007953
1.59E+12,2020-05-21 1:00,BTCUSD,9556.55,9558.53,9506.34,9516.09,30.79317153
1.59E+12,2020-05-21 0:00,BTCUSD,9514.6,9568.98,9481,9556.55,11.81841811
1.59E+12,2020-05-20 23:00,BTCUSD,9522.93,9543.33,9442.63,9514.6,65.26097019
1.59E+12,2020-05-20 22:00,BTCUSD,9554.49,9571.49,9499.3,9522.93,50.9430243
1.59E+12,2020-05-20 21:00,BTCUSD,9591.21,9592.01,9541.09,9554.49,54.4795737
1.59E+12,2020-05-20 20:00,BTCUSD,9531.36,9598.41,9519.66,9591.21,31.60169172
1.59E+12,2020-05-20 19:00,BTCUSD,9539.52,9539.52,9484.46,9531.36,78.23352744
1.59E+12,2020-05-20 18:00,BTCUSD,9536.52,9542.35,9507.49,9539.52,76.17495028
1.59E+12,2020-05-20 17:00,BTCUSD,9481.03,9541.72,9448.62,9536.52,135.8788732
1.59E+12,2020-05-20 16:00,BTCUSD,9403.92,9520.04,9351.55,9481.03,341.4408881
1.59E+12,2020-05-20 15:00,BTCUSD,9771.21,9771.21,9302.03,9403.92,749.2032489
1.59E+12,2020-05-20 14:00,BTCUSD,9786.25,9799.99,9770,9771.21,41.42353414
1.59E+12,2020-05-20 13:00,BTCUSD,9760.3,9790.87,9746.36,9786.25,53.91549122
1.59E+12,2020-05-20 12:00,BTCUSD,9714.22,9784.32,9714.22,9760.3,43.9996243
1.59E+12,2020-05-20 11:00,BTCUSD,9774.99,9777.21,9714.22,9714.22,16.05566083
1.59E+12,2020-05-20 10:00,BTCUSD,9790.77,9801.21,9724.47,9774.99,75.99804278
1.59E+12,2020-05-20 9:00,BTCUSD,9784.55,9790.98,9748.5,9790.77,32.5667768
1.59E+12,2020-05-20 8:00,BTCUSD,9764.97,9796.41,9742.71,9784.55,45.56531238
1.59E+12,2020-05-20 7:00,BTCUSD,9716.58,9784.71,9705.49,9764.97,32.13219571
1.59E+12,2020-05-20 6:00,BTCUSD,9755.01,9845.15,9647,9716.58,195.6072465
1.59E+12,2020-05-20 5:00,BTCUSD,9733,9755.01,9717.66,9755.01,18.57203916
1.59E+12,2020-05-20 4:00,BTCUSD,9722.01,9748.8,9701.46,9733,64.80073213
1.59E+12,2020-05-20 3:00,BTCUSD,9732.17,9776.81,9716.54,9722.01,12.71028329
1.59E+12,2020-05-20 2:00,BTCUSD,9751.51,9752.18,9715,9732.17,18.46953835
1.59E+12,2020-05-20 1:00,BTCUSD,9744.9,9774.08,9735.62,9751.51,62.88039315
1.59E+12,2020-05-20 0:00,BTCUSD,9777.43,9801.22,9737.79,9744.9,42.27585179
1.59E+12,2020-05-19 23:00,BTCUSD,9754.53,9798.61,9712.28,9777.43,55.48908989
1.59E+12,2020-05-19 22:00,BTCUSD,9693.6,9774.99,9662.7,9754.53,35.61790943
1.59E+12,2020-05-19 21:00,BTCUSD,9694.26,9700.86,9669.74,9693.6,65.17368796
1.59E+12,2020-05-19 20:00,BTCUSD,9638.52,9699,9628.88,9694.26,48.32512951
1.59E+12,2020-05-19 19:00,BTCUSD,9706.23,9722.31,9638.52,9638.52,94.76404575
1.59E+12,2020-05-19 18:00,BTCUSD,9662.36,9725.04,9658.52,9706.23,54.12599019
1.59E+12,2020-05-19 17:00,BTCUSD,9700.26,9719.76,9628.88,9662.36,97.47103478
1.59E+12,2020-05-19 16:00,BTCUSD,9684.19,9731.66,9670.5,9700.26,55.88091545
1.59E+12,2020-05-19 15:00,BTCUSD,9700.96,9735.62,9643.32,9684.19,121.2784722
1.59E+12,2020-05-19 14:00,BTCUSD,9671.97,9734.87,9670.47,9700.96,108.976724
1.59E+12,2020-05-19 13:00,BTCUSD,9621.5,9687.02,9597.5,9671.97,53.57887371
1.59E+12,2020-05-19 12:00,BTCUSD,9733.43,9756.52,9555.57,9621.5,222.9222325
1.59E+12,2020-05-19 11:00,BTCUSD,9783.6,9900,9701.36,9733.43,230.6239368
1.59E+12,2020-05-19 10:00,BTCUSD,9787.9,9806.93,9759.99,9783.6,41.03923623
1.59E+12,2020-05-19 9:00,BTCUSD,9794.51,9811.88,9766.22,9787.9,47.3346798
1.59E+12,2020-05-19 8:00,BTCUSD,9564.11,9819.41,9564.11,9794.51,217.8802277
1.59E+12,2020-05-19 7:00,BTCUSD,9585.18,9612.14,9550.01,9564.11,48.63165885
1.59E+12,2020-05-19 6:00,BTCUSD,9598.33,9612.79,9580.79,9585.18,64.38254243
1.59E+12,2020-05-19 5:00,BTCUSD,9523.17,9602.85,9520,9598.33,28.26497176
1.59E+12,2020-05-19 4:00,BTCUSD,9518.31,9558.23,9467.86,9523.17,31.90667847
1.59E+12,2020-05-19 3:00,BTCUSD,9604.31,9625.34,9483.64,9518.31,69.52191891
1.59E+12,2020-05-19 2:00,BTCUSD,9652.56,9652.56,9535.77,9604.31,70.11403155
1.59E+12,2020-05-19 1:00,BTCUSD,9624.28,9658.95,9624.28,9652.56,21.22396315
1.59E+12,2020-05-19 0:00,BTCUSD,9729.56,9738.84,9577.22,9624.28,104.1889763
1.59E+12,2020-05-18 23:00,BTCUSD,9717.5,9752.46,9701.31,9729.56,50.46162649
1.59E+12,2020-05-18 22:00,BTCUSD,9688.4,9744.78,9676.33,9717.5,33.68830853
1.59E+12,2020-05-18 21:00,BTCUSD,9682.4,9724.14,9676.34,9688.4,43.05825364
1.59E+12,2020-05-18 20:00,BTCUSD,9700.94,9715.47,9648.8,9682.4,60.55097694
1.59E+12,2020-05-18 19:00,BTCUSD,9659.51,9714.87,9652.22,9700.94,67.79952492
1.59E+12,2020-05-18 18:00,BTCUSD,9622.96,9659.51,9611.04,9659.51,31.86132039
1.59E+12,2020-05-18 17:00,BTCUSD,9635.9,9652.76,9547.02,9622.96,112.5263407
